supplier,supplier_id,supplier_sku,master_product_id,variant_id,product_name,components,dosage_form,presentation,strength,strength_unit,fill_volume,pack_size,route,goal_category,supplier_currency,supplier_price,exchange_rate_eur_usd,exchange_rate_date,supplier_price_usd,mediluxe_master_currency,mediluxe_master_price,is_reference_price,active,source_page,notes
NP LABS,supplier-np-labs,,mp-sermorelin-5mg-vial,np-labs-sermorelin-5mg-vial-vial,Sermorelin 5mg vial,Sermorelin,lyophilized_powder,vial,5.0,mg,,,injectable,GH Secretagogues,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-ipamorelin-5mg-vial,np-labs-ipamorelin-5mg-vial-vial,Ipamorelin 5mg vial,Ipamorelin,lyophilized_powder,vial,5.0,mg,,,injectable,GH Secretagogues,EUR,45.00,1.1530,2026-08-03,51.88,USD,51.88,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-ipamorelin-10mg-vial,np-labs-ipamorelin-10mg-vial-vial,Ipamorelin 10mg vial,Ipamorelin,lyophilized_powder,vial,10.0,mg,,,injectable,GH Secretagogues,EUR,75.00,1.1530,2026-08-03,86.48,USD,86.48,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-ghrp-6-5mg-vial,np-labs-ghrp-6-5mg-vial-vial,GHRP-6 5mg vial,GHRP-6,lyophilized_powder,vial,5.0,mg,,,injectable,GH Secretagogues,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-cjc-1295-dac-5mg-vial,np-labs-cjc-1295-dac-5mg-vial-vial,CJC-1295 DAC 5mg vial,CJC-1295 DAC,lyophilized_powder,vial,5.0,mg,,,injectable,GH Secretagogues,EUR,80.00,1.1530,2026-08-03,92.24,USD,92.24,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-cjc-1295-dac-10mg-vial,np-labs-cjc-1295-dac-10mg-vial-vial,CJC-1295 DAC 10mg vial,CJC-1295 DAC,lyophilized_powder,vial,10.0,mg,,,injectable,GH Secretagogues,EUR,120.00,1.1530,2026-08-03,138.36,USD,138.36,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-cjc-1295-no-dac-10mg-vial,np-labs-cjc-1295-no-dac-10mg-vial-vial,CJC-1295 No DAC 10mg vial,CJC-1295 No DAC,lyophilized_powder,vial,10.0,mg,,,injectable,GH Secretagogues,EUR,80.00,1.1530,2026-08-03,92.24,USD,92.24,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-cjc-1295-no-dac-5mg-plus-ipamorelin-5mg-vial,np-labs-cjc-1295-no-dac-5mg-plus-ipamorelin-5mg-vial-vial,CJC-1295 No DAC 5mg + Ipamorelin 5mg vial,CJC-1295 No DAC + Ipamorelin,lyophilized_powder,vial,5.0 + 5.0,mg + mg,,,injectable,GH Secretagogues,EUR,100.00,1.1530,2026-08-03,115.30,USD,115.30,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-cjc-1295-no-dac-5mg-plus-ipamorelin-5mg-plus-bpc-157-15mg-vial,np-labs-cjc-1295-no-dac-5mg-plus-ipamorelin-5mg-plus-bpc-157-15mg-vial-vial,CJC-1295 No DAC 5mg + Ipamorelin 5mg + BPC-157 15mg vial,CJC-1295 No DAC + Ipamorelin + BPC-157,lyophilized_powder,vial,5.0 + 5.0 + 15.0,mg + mg + mg,,,injectable,GH Secretagogues,EUR,150.00,1.1530,2026-08-03,172.95,USD,172.95,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-cjc-1295-no-dac-2mg-plus-ipamorelin-2mg-plus-bpc-157-5mg-vial,np-labs-cjc-1295-no-dac-2mg-plus-ipamorelin-2mg-plus-bpc-157-5mg-vial-vial,CJC-1295 No DAC 2mg + Ipamorelin 2mg + BPC-157 5mg vial,CJC-1295 No DAC + Ipamorelin + BPC-157,lyophilized_powder,vial,2.0 + 2.0 + 5.0,mg + mg + mg,,,injectable,GH Secretagogues,EUR,150.00,1.1530,2026-08-03,172.95,USD,172.95,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-cjc-1295-no-dac-3mg-plus-ipamorelin-3mg-plus-sermorelin-6mg-vial,np-labs-cjc-1295-no-dac-3mg-plus-ipamorelin-3mg-plus-sermorelin-6mg-vial-vial,CJC-1295 No DAC 3mg + Ipamorelin 3mg + Sermorelin 6mg vial,CJC-1295 No DAC + Ipamorelin + Sermorelin,lyophilized_powder,vial,3.0 + 3.0 + 6.0,mg + mg + mg,,,injectable,GH Secretagogues,EUR,180.00,1.1530,2026-08-03,207.54,USD,207.54,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-tesamorelin-5mg-vial,np-labs-tesamorelin-5mg-vial-vial,Tesamorelin 5mg vial,Tesamorelin,lyophilized_powder,vial,5.0,mg,,,injectable,GH Secretagogues,EUR,80.00,1.1530,2026-08-03,92.24,USD,92.24,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-tesamorelin-20mg-plus-ipamorelin-10mg-vial,np-labs-tesamorelin-20mg-plus-ipamorelin-10mg-vial-vial,Tesamorelin 20mg + Ipamorelin 10mg vial,Tesamorelin + Ipamorelin,lyophilized_powder,vial,20.0 + 10.0,mg + mg,,,injectable,GH Secretagogues,EUR,220.00,1.1530,2026-08-03,253.66,USD,253.66,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-semaglutide-2mg-vial,np-labs-semaglutide-2mg-vial-vial,Semaglutide 2mg vial,Semaglutide,lyophilized_powder,vial,2.0,mg,,,injectable,Weight Management,EUR,70.00,1.1530,2026-08-03,80.71,USD,80.71,FALSE,TRUE,1,
